f,g,f_no_neg,g_no_neg,alpha,beta,gamma,n,k_gamma0,k_gamma,d0,d,ratio0,ratio
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,3,7,1,42,2,4,5,5,1.19,2.38
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,-17,42,2,4,5,7,1.19,4.67
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,-14,42,2,4,5,7,1.19,4.67
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,-8,42,2,4,5,7,1.19,4.67
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,-5,42,2,4,5,6,1.19,3.43
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,4,42,2,4,5,7,1.19,4.67
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,7,42,2,4,5,7,1.19,4.67
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,13,42,2,4,5,7,1.19,4.67
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,x^2*y+x+y^2,x+y^3+y,21,1,16,42,2,4,5,6,1.19,3.43
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,-20,42,2,4,7,7,2.33,4.67
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,-17,42,2,4,7,6,2.33,3.43
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,-14,42,2,4,7,7,2.33,4.67
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,-11,42,2,4,7,6,2.33,3.43
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,-8,42,2,4,7,7,2.33,4.67
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,1,42,2,4,7,7,2.33,4.67
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,4,42,2,4,7,6,2.33,3.43
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,7,42,2,4,7,7,2.33,4.67
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,10,42,2,4,7,6,2.33,3.43
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,x^2+y^3+y^2,x+y^5+y^2,21,1,13,42,2,4,7,7,2.33,4.67
1 + x^-2*y^3 + x^-3*y,1 + x^-1*y^2 + x^-3,x^3+x*y^3+y,x^3+x^2*y^2+1,3,7,-2,42,2,4,8,7,3.05,4.67
1 + x^-2*y^3 + x^-3*y,1 + x^-1*y^2 + x^-3,x^3+x*y^3+y,x^3+x^2*y^2+1,3,7,1,42,2,4,8,7,3.05,4.67
